#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
5.0%	995000	-29938.684622666828	290.0490818424169	114	7:58:30
5.0%	1000000	-29921.354278495885	306.94108915019376	114	7:58:25
5.0%	1005000	-29905.469190415926	301.11207841049367	114	7:58:18
5.0%	1010000	-29920.900714051997	294.065236262246	114	7:58:12
5.1%	1015000	-30258.95494785739	303.0258405593332	114	7:58:05
5.1%	1020000	-29772.527205777908	290.981865842709	114	7:57:58
5.1%	1025000	-30015.28398022012	300.11597679226765	114	7:57:52
5.2%	1030000	-30069.601772783033	309.09303782694445	114	7:57:44
5.2%	1035000	-30241.180831524543	298.44127252062356	114	7:57:39
5.2%	1040000	-29824.548780325043	309.09625309435825	114	7:57:32
5.2%	1045000	-29875.280666753737	290.88608355312164	114	7:57:26
5.2%	1050000	-29919.63298132521	306.53187173064924	114	7:57:20
5.3%	1055000	-29854.421658306906	308.3717055217441	114	7:57:15
5.3%	1060000	-29814.83572530761	295.454273586729	114	7:57:08
5.3%	1065000	-30045.070885060413	311.03621758850915	114	7:56:59
5.3%	1070000	-30101.649188011244	302.77900301900763	114	7:56:52
5.4%	1075000	-29932.907510473597	299.0622985304669	114	7:56:43
5.4%	1080000	-30190.726396849786	290.88280033948166	114	7:56:35
5.4%	1085000	-29991.49182011743	307.78408761009837	114	7:56:27
5.5%	1090000	-30263.727042055485	300.9051290850744	114	7:56:17
5.5%	1095000	-29985.709839287447	290.1530261964552	114	7:56:10
5.5%	1100000	-30070.549834746897	298.2120437745003	114	7:56:01
5.5%	1105000	-30017.610915127094	302.3170975132892	114	7:55:53
5.5%	1110000	-30241.32471993752	301.52046151772856	114	7:55:45
5.6%	1115000	-30292.516475874756	299.4880967051812	114	7:55:36
5.6%	1120000	-29844.192011167674	309.04554315876806	114	7:55:29
5.6%	1125000	-30063.38436519244	302.9361265453795	114	7:55:19
5.7%	1130000	-30007.437416627974	309.3119106185683	114	7:55:12
5.7%	1135000	-30060.732406132534	297.94939294983516	114	7:55:04
5.7%	1140000	-30107.216416434618	302.23089934847616	114	7:54:56
5.7%	1145000	-30052.939634383045	303.23664666222396	114	7:54:48
5.8%	1150000	-30114.005093833548	309.11902698193455	114	7:54:40
5.8%	1155000	-30220.664549510984	305.55569081110025	114	7:54:34
5.8%	1160000	-29861.39737418847	299.21530841376426	114	7:54:27
5.8%	1165000	-29673.757059578173	302.1566739950309	114	7:54:19
5.8%	1170000	-30357.080292949802	300.3152955229305	114	7:54:12
5.9%	1175000	-29867.62137210436	300.1329255027647	114	7:54:04
5.9%	1180000	-30185.140221396287	305.1960754933061	114	7:53:57
5.9%	1185000	-29912.14524702364	303.6483533414387	114	7:53:49
6.0%	1190000	-29794.102367511427	298.4048649880155	114	7:53:42
6.0%	1195000	-29646.089562793262	302.4953610470019	114	7:53:35
6.0%	1200000	-29979.14328075963	292.4252917590749	114	7:53:27
6.0%	1205000	-30086.271949837304	291.56808845325344	114	7:53:20
6.0%	1210000	-29716.608248127217	307.5957029671661	114	7:53:13
6.1%	1215000	-29988.97303091726	295.7767899979404	114	7:53:06
6.1%	1220000	-30130.992888755252	303.49223765155216	114	7:52:58
6.1%	1225000	-29854.854013501492	301.7916567352376	114	7:52:50
6.2%	1230000	-30326.80443069013	296.963913250047	114	7:52:43
6.2%	1235000	-29965.44405496563	302.32479470156267	114	7:52:36
6.2%	1240000	-30020.58882315739	293.345082976791	114	7:52:28
6.2%	1245000	-30130.805067303125	297.1032032098878	114	7:52:20
6.2%	1250000	-30270.758279108122	302.13921397192775	114	7:52:14
6.3%	1255000	-29840.917014369712	303.71886836422436	114	7:52:06
6.3%	1260000	-30275.409819711087	295.44664403632413	114	7:51:59
6.3%	1265000	-30124.14472366037	297.8816975752577	114	7:51:52
6.3%	1270000	-30153.42017226611	287.28638824432284	114	7:51:44
6.4%	1275000	-29872.12053925579	303.85196646510565	114	7:51:38
6.4%	1280000	-30030.678641714418	308.9278495281598	114	7:51:30
6.4%	1285000	-30103.936413331656	303.63107001273573	114	7:51:24
6.5%	1290000	-29989.780892483424	299.2375494387804	114	7:51:17
6.5%	1295000	-29870.333166534372	300.9750332965677	114	7:51:09
6.5%	1300000	-29759.232230366237	306.2142982869478	114	7:51:03
6.5%	1305000	-30119.611076895555	297.1606102265798	114	7:50:54
6.5%	1310000	-30250.9353313224	307.1993858393496	114	7:50:47
6.6%	1315000	-29796.582889226585	295.3819502293233	114	7:50:40
6.6%	1320000	-30006.540257099958	299.84486901486827	114	7:50:32
6.6%	1325000	-29953.168549339112	299.0078505076234	114	7:50:26
6.7%	1330000	-30083.54421624285	297.13824820402726	114	7:50:18
6.7%	1335000	-30333.748022273125	308.4923388055698	114	7:50:09
6.7%	1340000	-29888.47839652971	296.50263014681866	114	7:50:01
6.7%	1345000	-30213.41710128353	290.6540530345032	114	7:49:52
6.8%	1350000	-30099.068418794224	299.97619736703524	114	7:49:44
6.8%	1355000	-30052.65141720089	307.65881649202197	114	7:49:35
6.8%	1360000	-30017.819428510586	294.21473723677536	114	7:49:27
6.8%	1365000	-29831.182384492306	295.63555537483074	114	7:49:19
6.8%	1370000	-30153.238072185748	301.4880280298488	114	7:49:11
6.9%	1375000	-30167.257434128347	303.73395150457935	114	7:49:03
6.9%	1380000	-30351.96879767091	297.3570976216217	114	7:48:55
6.9%	1385000	-29597.714271489007	302.54049954712127	114	7:48:47
7.0%	1390000	-29969.559913512756	300.3036125707556	114	7:48:38
7.0%	1395000	-29787.198894543602	297.15573530147395	114	7:48:31
7.0%	1400000	-29788.955628985044	296.9025443615946	114	7:48:22
7.0%	1405000	-29591.88824725029	298.8312733773357	114	7:48:13
7.0%	1410000	-30100.457703810884	301.4024594663783	114	7:48:06
7.1%	1415000	-30248.5850735	297.2440865460061	114	7:47:57
7.1%	1420000	-30085.212641533843	308.1294733544839	114	7:47:50
7.1%	1425000	-30126.983426309336	294.1625821039583	114	7:47:42
7.2%	1430000	-29882.35252266936	291.7818462552587	114	7:47:33
7.2%	1435000	-29682.19316351798	306.30857730768105	114	7:47:26
7.2%	1440000	-30186.861337332783	293.93750946054627	114	7:47:17
7.2%	1445000	-29863.89118749564	293.8000645523748	114	7:47:10
7.2%	1450000	-29970.7825921725	293.5177868936547	114	7:47:02
7.3%	1455000	-30238.484888927982	297.42026096455214	114	7:46:53
7.3%	1460000	-29970.651271450333	293.0234752568682	114	7:46:46
7.3%	1465000	-29959.692406865448	304.5964908600917	114	7:46:37
7.3%	1470000	-30241.895267476677	306.7526463829475	114	7:46:29
7.4%	1475000	-30092.66716936376	305.6404611778866	114	7:46:22
7.4%	1480000	-30110.441542490735	298.71929574184634	114	7:46:13
7.4%	1485000	-29940.34845569756	302.9865392318606	114	7:46:07
7.5%	1490000	-30000.057427934225	303.5275223239529	114	7:46:00
7.5%	1495000	-29940.031731654715	293.3836538692799	114	7:45:52
7.5%	1500000	-30066.604877604666	300.80017444295885	114	7:45:45
7.5%	1505000	-30139.430695234332	301.99060252656074	114	7:45:38
7.5%	1510000	-29901.39094000167	306.28958867767346	114	7:45:31
7.6%	1515000	-29798.32856387319	295.08723130494076	114	7:45:24
7.6%	1520000	-29869.338444049878	299.9639283778881	114	7:45:16
7.6%	1525000	-30213.127653035015	309.1793640244465	114	7:45:09
7.7%	1530000	-30004.858286940667	303.45865063067754	114	7:45:02
7.7%	1535000	-30075.940375592472	295.99895343215985	114	7:44:54
7.7%	1540000	-29795.354746548604	296.69173707271483	114	7:44:48
7.7%	1545000	-29828.391416760074	304.82800967158255	114	7:44:41
7.8%	1550000	-30175.73340060521	312.96308421028175	114	7:44:34
7.8%	1555000	-29887.095827601297	305.33900143888786	114	7:44:27
7.8%	1560000	-29815.256524951663	295.2147991181584	114	7:44:18
7.8%	1565000	-30066.499984308175	292.4358530017492	114	7:44:12
7.8%	1570000	-29940.455127888854	294.95275815035365	114	7:44:05
7.9%	1575000	-30114.635835243826	296.5333573019315	114	7:43:58
7.9%	1580000	-30291.927639084024	295.58655331962694	114	7:43:51
7.9%	1585000	-29993.687627469742	300.09300900430515	114	7:43:43
8.0%	1590000	-30079.164885379316	298.2417758966716	114	7:43:36
8.0%	1595000	-29785.839819499786	295.8113483869669	114	7:43:29
8.0%	1600000	-29969.123381452926	301.2580511410693	114	7:43:22
8.0%	1605000	-29985.647346982267	304.47501385548816	114	7:43:16
8.1%	1610000	-29727.995347937598	294.6958136146236	114	7:43:09
8.1%	1615000	-30065.933757586463	308.9786017787386	114	7:43:01
8.1%	1620000	-29745.936624418246	304.5815222797922	114	7:42:54
8.1%	1625000	-29484.953742560785	302.07384303341433	114	7:42:47
8.2%	1630000	-29927.12835297259	300.0208330918644	114	7:42:38
8.2%	1635000	-29588.857207758527	302.2264547777967	114	7:42:32
8.2%	1640000	-30198.118204967846	304.36887439451976	114	7:42:24
8.2%	1645000	-30023.629553854465	298.52321845899957	114	7:42:17
8.2%	1650000	-30188.84639818364	303.5493629343114	114	7:42:12
8.3%	1655000	-30018.99062427669	297.3391163189259	114	7:42:04
8.3%	1660000	-29987.407257585233	305.35515464488645	114	7:41:58
8.3%	1665000	-29797.07685929918	300.15773695883905	114	7:41:52
8.3%	1670000	-29967.707059199485	302.47923813352014	114	7:41:45
8.4%	1675000	-30181.827150316443	302.8988944945933	114	7:41:40
8.4%	1680000	-29992.31027488399	289.19408705738	114	7:41:33
8.4%	1685000	-30050.88157075536	308.2405005314127	114	7:41:27
8.4%	1690000	-30117.61866818677	300.9030184333068	114	7:41:21
8.5%	1695000	-30010.65039824249	294.6837382541016	114	7:41:14
8.5%	1700000	-30254.09306056687	294.8883604215576	114	7:41:09
8.5%	1705000	-30114.696273750742	301.06395250774824	114	7:41:03
8.6%	1710000	-29882.457904070063	303.10628942134	114	7:40:56
8.6%	1715000	-30000.41473981508	305.1200574238375	114	7:40:49
8.6%	1720000	-29676.573213705706	300.548703805702	114	7:40:41
8.6%	1725000	-29841.82882550804	297.1499110673924	114	7:40:35
8.7%	1730000	-30014.152330209006	305.3121919759199	114	7:40:28
8.7%	1735000	-30058.414720955072	297.9335102570726	114	7:40:21
8.7%	1740000	-30396.13100857311	300.41565627956714	114	7:40:16
8.7%	1745000	-29805.930171147775	302.88680096857905	114	7:40:10
8.8%	1750000	-30027.72700528815	287.7427583442717	114	7:40:04
8.8%	1755000	-29848.72278196682	297.5550314233804	114	7:39:58
8.8%	1760000	-30147.8966876872	306.52983098940973	114	7:39:50
8.8%	1765000	-30212.11663037789	316.30714036444294	114	7:39:43
8.8%	1770000	-29975.605241165875	291.0327681764178	114	7:39:36
8.9%	1775000	-30206.863275949552	297.0176960796365	114	7:39:30
8.9%	1780000	-29798.60400347723	296.05701215967053	114	7:39:24
8.9%	1785000	-29617.989550373983	294.5172047603759	114	7:39:18
8.9%	1790000	-29917.377769071027	302.1578498319792	114	7:39:11
9.0%	1795000	-30151.31219374726	302.20038151530525	114	7:39:06
9.0%	1800000	-29814.670968815422	291.9950983901059	114	7:38:59
9.0%	1805000	-30109.757118824695	303.1829707531462	114	7:38:52
