#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
5.0%	1000000	-30097.61161333113	312.2133434294185	115	7:55:47
5.0%	1005000	-29893.065857472742	304.2701596080789	115	7:55:38
5.0%	1010000	-29843.49629126882	294.8301204107217	115	7:55:31
5.1%	1015000	-29865.77655646429	291.5499390461206	115	7:55:25
5.1%	1020000	-30129.94198404986	306.62219441377545	115	7:55:20
5.1%	1025000	-30155.29970125665	295.8203734015335	115	7:55:14
5.2%	1030000	-30014.294307766133	303.33242095193714	115	7:55:08
5.2%	1035000	-30001.312510855118	288.20291693060875	115	7:55:06
5.2%	1040000	-30109.799607094203	302.57742313329993	115	7:55:01
5.2%	1045000	-29676.26928973655	300.2623135457705	115	7:54:52
5.2%	1050000	-29793.37659607682	297.7937398139942	115	7:54:43
5.3%	1055000	-29951.619021505205	299.658158210206	115	7:54:33
5.3%	1060000	-30005.651461952773	298.31788645778573	115	7:54:26
5.3%	1065000	-30030.409397140087	300.0036372767959	115	7:54:17
5.3%	1070000	-30221.350221830915	300.5635294831643	115	7:54:10
5.4%	1075000	-29826.203259522823	299.34548554325784	115	7:54:03
5.4%	1080000	-30096.08365187436	302.538381248144	115	7:53:54
5.4%	1085000	-30174.648564163508	293.079951304841	115	7:53:48
5.5%	1090000	-29949.75959778906	285.9907547360061	115	7:53:38
5.5%	1095000	-29834.41822744385	303.28192532052645	115	7:53:30
5.5%	1100000	-29630.561586284282	309.62037061091695	115	7:53:21
5.5%	1105000	-30015.66359371817	296.5092467317247	115	7:53:12
5.5%	1110000	-29929.80610573516	300.8825974421772	115	7:53:03
5.6%	1115000	-30075.679015203845	292.94008131796215	115	7:52:54
5.6%	1120000	-29847.852239864762	306.74333125606836	115	7:52:47
5.6%	1125000	-30078.330106470472	304.1566777431498	115	7:52:38
5.7%	1130000	-30155.31114917685	300.9008816304261	115	7:52:29
5.7%	1135000	-30228.382298210374	301.61898572475894	115	7:52:21
5.7%	1140000	-30157.264753829746	296.6176857418225	115	7:52:13
5.7%	1145000	-29945.85933807207	305.3671185570115	115	7:52:05
5.8%	1150000	-30030.09460108998	304.03105920098096	115	7:51:58
5.8%	1155000	-29950.945296327176	304.1255965777933	115	7:51:52
5.8%	1160000	-29832.12969671181	299.01025788794453	115	7:51:44
5.8%	1165000	-29977.592816606717	305.78718450989606	115	7:51:38
5.8%	1170000	-30018.743647236377	303.2082030507054	115	7:51:31
5.9%	1175000	-30031.380172173987	310.73121946279963	115	7:51:22
5.9%	1180000	-29886.476115141297	301.2988319168114	115	7:51:15
5.9%	1185000	-30374.18987589286	303.9132511010984	115	7:51:07
6.0%	1190000	-30183.232351049955	311.21752983592745	115	7:51:00
6.0%	1195000	-29944.350607610482	284.47359442519894	115	7:50:53
6.0%	1200000	-30408.718180131284	294.0054986956465	115	7:50:46
6.0%	1205000	-30113.530575283192	295.3651286333223	115	7:50:38
6.0%	1210000	-30039.60064867328	298.75455623775173	115	7:50:32
6.1%	1215000	-30131.729968608794	301.8751793230977	115	7:50:25
6.1%	1220000	-30008.495985446585	295.35303607187456	115	7:50:19
6.1%	1225000	-30166.510727457644	294.55061585043705	115	7:50:12
6.2%	1230000	-29943.184137724777	295.39872617387886	115	7:50:05
6.2%	1235000	-30203.245486801374	305.45923738512516	115	7:50:00
6.2%	1240000	-30123.364471260138	305.0552516759856	115	7:49:53
6.2%	1245000	-30238.58455812899	300.8056048307341	115	7:49:46
6.2%	1250000	-30007.61085629891	283.9295546594679	115	7:49:40
6.3%	1255000	-29969.232173750323	291.3818133909105	115	7:49:32
6.3%	1260000	-30062.974999598053	309.5310124025614	115	7:49:25
6.3%	1265000	-30096.15578805958	296.44436663797467	115	7:49:20
6.3%	1270000	-29796.49665755572	303.10686458258766	115	7:49:12
6.4%	1275000	-30491.6139313351	303.8043570625383	115	7:49:06
6.4%	1280000	-30094.917208780593	303.95183473872646	115	7:48:58
6.4%	1285000	-30095.854095566407	296.32729135366793	115	7:48:50
6.5%	1290000	-29892.84142907188	307.0544391166244	115	7:48:42
6.5%	1295000	-29888.839082259743	299.6400247054539	115	7:48:33
6.5%	1300000	-30091.31595408413	295.1493840897069	115	7:48:26
6.5%	1305000	-29652.359109031968	297.5796277440973	115	7:48:17
6.5%	1310000	-29877.13886572767	306.1190790472723	115	7:48:10
6.6%	1315000	-29814.388171820057	303.9584610724881	115	7:48:03
6.6%	1320000	-30034.816433206986	302.87983843613983	115	7:47:56
